Question,Oprion 1,Option 2,Option 3,Option 4,Answer,Question_type,Diagram
"&lt;p&gt;In SI units a force is numerically equal to the -----------, when the force is applied to it.&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;",&lt;p&gt;velocity of the standard kilogram&lt;/p&gt;,&lt;p&gt;acceleration of the standard kilogram&lt;/p&gt;,&lt;p&gt;velocity of any object&lt;/p&gt;,&lt;p&gt;speed of the standard kilogram&lt;/p&gt;,2,1,
&lt;p&gt;A newton is the force:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;of gravity on a 1 kg body&lt;/p&gt;,&lt;p&gt;of gravity on a 1 g body&lt;/p&gt;,&lt;p&gt;that gives a 1 kg body an acceleration of 1 m/s&lt;sup&gt;2&lt;/sup&gt;&lt;/p&gt;,&lt;p&gt;that gives a 1 kg body an acceleration of 1cm/s&lt;sup&gt;2&lt;/sup&gt;&lt;/p&gt;,3,1,
&lt;p&gt;The term &amp;ldquo;&lt;b&gt;mass&lt;/b&gt;&amp;rdquo; refers to the same physical concept as:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;weight&lt;/p&gt;,&lt;p&gt;inertia&lt;/p&gt;,&lt;p&gt;force&lt;/p&gt;,&lt;p&gt;acceleration&lt;/p&gt;,2,1,
&lt;p&gt;The inertia of a body tends to cause the body to:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;speed up&lt;/p&gt;,&lt;p&gt;slow down&lt;/p&gt;,&lt;p&gt;resist any change in its motion&lt;/p&gt;,&lt;p&gt;fall toward Earth&lt;/p&gt;,3,1,
&lt;p&gt;A car travels east at constant velocity. The net force on the car is:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;east&lt;/p&gt;,&lt;p&gt;west&lt;/p&gt;,&lt;p&gt;up&lt;/p&gt;,&lt;p&gt;Zero&lt;/p&gt;,4,1,
"&lt;p&gt;A book rests on a table, exerting a downward force on the table. The reaction to this force&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp; is:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;",&lt;p&gt;the force of Earth on the book&lt;/p&gt;,&lt;p&gt;the force of the table on the book&lt;/p&gt;,&lt;p&gt;the force of Earth on the table&lt;/p&gt;,&lt;p&gt;the force of the book on Earth&lt;/p&gt;,2,1,
"&lt;p&gt;A book rests on a table, exerting a downward force on the table. The reaction to this force&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp; is:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;",&lt;p&gt;the force of Earth on the book&lt;/p&gt;,&lt;p&gt;the force of the table on the book&lt;/p&gt;,&lt;p&gt;the force of Earth on the table&lt;/p&gt;,&lt;p&gt;the force of the book on Earth&lt;/p&gt;,2,1,
&lt;p&gt;The mathematical statement of Newton&amp;rsquo;s third law of motion is&amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;..&amp;nbsp;&amp;nbsp;&amp;nbsp;&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;F&lt;sub&gt;A on B&lt;/sub&gt; = - F&lt;sub&gt;B on A&lt;/sub&gt;&amp;nbsp;&amp;nbsp;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;F&lt;sub&gt;A on B&lt;/sub&gt; = F&lt;sub&gt;B on A&lt;/sub&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;F&lt;sub&gt;A on B&lt;/sub&gt; = F&lt;sub&gt;A on B&lt;/sub&gt;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;F&lt;sub&gt;A on B&lt;/sub&gt; = ma&lt;/p&gt;,1,1,
&lt;p&gt;Impulse is defined as the &amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;. of force and &amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;..&lt;/p&gt;&lt;p&gt;&lt;b&gt;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&lt;/b&gt;&lt;/p&gt;,&lt;p&gt;Product/time&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;&amp;nbsp; product/distance&amp;nbsp;&amp;nbsp;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;&amp;nbsp; sum/time&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;sum/distance&lt;/p&gt;,1,1,
&lt;p&gt;The &amp;ldquo;reaction&amp;rdquo; force does not cancel the &amp;ldquo;action&amp;rdquo; force because:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;the action force is greater than the reaction force&lt;/p&gt;,&lt;p&gt;they are on different bodies&lt;/p&gt;,&lt;p&gt;they are in the same direction&lt;/p&gt;,&lt;p&gt;the reaction force exists only after the action force is removed&lt;/p&gt;,2,1,
"&lt;p&gt;A man pulls a sled along a rough horizontal surface by applying a constant force F&amp;nbsp;at an angle &amp;theta; above the horizontal. In pulling the sled a horizontal distance d, the work done by the man is:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;",&lt;p&gt;Fd&lt;/p&gt;,&lt;p&gt;Fdcos&amp;theta;&lt;/p&gt;,&lt;p&gt;Fdsin&amp;theta;&lt;/p&gt;,&lt;p&gt;Fd / cos &amp;theta;&lt;/p&gt;,2,1,
"&lt;p&gt;When a certain rubber band is stretched a distance x, it exerts a restoring force of magnitude F = Ax, where A is a constant. The work done by a person in stretching this rubber band from x = 0 to x = L, beginning and ending at rest, is:&lt;/p&gt;",&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mi&gt;A&lt;/mi&gt;&lt;msup&gt;&lt;mi&gt;L&lt;/mi&gt;&lt;mn&gt;2&lt;/mn&gt;&lt;/msup&gt;&lt;/math&gt;&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mi&gt;A&lt;/mi&gt;&lt;mo&gt;&amp;#160;&lt;/mo&gt;&lt;mo&gt;+&lt;/mo&gt;&lt;mo&gt;&amp;#160;&lt;/mo&gt;&lt;mn&gt;2&lt;/mn&gt;&lt;mi&gt;L&lt;/mi&gt;&lt;/math&gt;&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mi&gt;A&lt;/mi&gt;&lt;mo&gt;&amp;#160;&lt;/mo&gt;&lt;mo&gt;+&lt;/mo&gt;&lt;mo&gt;&amp;#160;&lt;/mo&gt;&lt;mn&gt;2&lt;/mn&gt;&lt;msup&gt;&lt;mi&gt;L&lt;/mi&gt;&lt;mn&gt;2&lt;/mn&gt;&lt;/msup&gt;&lt;/math&gt;&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mfrac&gt;&lt;mrow&gt;&lt;mi&gt;A&lt;/mi&gt;&lt;msup&gt;&lt;mi&gt;L&lt;/mi&gt;&lt;mn&gt;2&lt;/mn&gt;&lt;/msup&gt;&lt;/mrow&gt;&lt;mn&gt;2&lt;/mn&gt;&lt;/mfrac&gt;&lt;/math&gt;&lt;/p&gt;,4,1,
&lt;p&gt;Which of the following bodies has the largest kinetic energy?&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;Mass 3M and speed V&lt;/p&gt;,&lt;p&gt;Mass 3M and speed 2V&lt;/p&gt;,&lt;p&gt;Mass 2M and speed 3V&lt;/p&gt;,&lt;p&gt;Mass M and speed 4V&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&lt;/p&gt;,3,1,
&lt;p&gt;The amount of work required to stop a moving object is equal to:&lt;/p&gt;,&lt;p&gt;the velocity of the object&lt;/p&gt;,&lt;p&gt;the kinetic energy of the object&lt;/p&gt;,&lt;p&gt;the mass of the object times its acceleration&lt;/p&gt;,&lt;p&gt;the mass of the object times its velocity&lt;/p&gt;,2,1,
&lt;p&gt;A force on a particle is conservative if:&lt;/p&gt;&lt;p&gt;A.&lt;/p&gt;&lt;p&gt;B.&lt;/p&gt;&lt;p&gt;C.&lt;/p&gt;&lt;p&gt;&lt;b&gt;D. &lt;/b&gt;&lt;/p&gt;,&lt;p&gt;it work equals the change in the kinetic energy of the particle&lt;/p&gt;,&lt;p&gt;it obeys Newton&amp;rsquo;s second law&lt;/p&gt;,&lt;p&gt;it obeys Newton&amp;rsquo;s third law&lt;/p&gt;,"&lt;p&gt;&amp;nbsp;&lt;/p&gt;&lt;p&gt;it work depends on the end points of every motion, not on the path between&lt;/p&gt;",4,1,
&lt;p&gt;A force on a particle is conservative if:&lt;/p&gt;&lt;p&gt;A.&lt;/p&gt;&lt;p&gt;B.&lt;/p&gt;&lt;p&gt;C.&lt;/p&gt;&lt;p&gt;&lt;b&gt;D. &lt;/b&gt;&lt;/p&gt;,&lt;p&gt;it work equals the change in the kinetic energy of the particle&lt;/p&gt;,&lt;p&gt;it obeys Newton&amp;rsquo;s second law&lt;/p&gt;,&lt;p&gt;it obeys Newton&amp;rsquo;s third law&lt;/p&gt;,"&lt;p&gt;&amp;nbsp;&lt;/p&gt;&lt;p&gt;it work depends on the end points of every motion, not on the path between&lt;/p&gt;",4,1,
&lt;p&gt;The momentum of an object at a given instant is independent of its:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;acceleration&lt;/p&gt;,&lt;p&gt;mass&lt;/p&gt;,&lt;p&gt;speed&lt;/p&gt;,&lt;p&gt;velocity&lt;/p&gt;,1,1,
&lt;p&gt;If the total momentum of a system is changing:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;particles of the system must be exerting forces on each other&lt;/p&gt;,&lt;p&gt;the system must be under the influence of gravity&lt;/p&gt;,&lt;p&gt;the center of mass must have constant velocity&lt;/p&gt;,&lt;p&gt;a net external force must be acting on the system&lt;/p&gt;,4,1,
&lt;p&gt;Momentum may be expressed in:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mi&gt;k&lt;/mi&gt;&lt;mi&gt;g&lt;/mi&gt;&lt;mo&gt;/&lt;/mo&gt;&lt;mi&gt;m&lt;/mi&gt;&lt;/math&gt;&lt;/p&gt;,&lt;p&gt;gram&amp;middot;s&lt;/p&gt;,&lt;p&gt;N&amp;middot;s&lt;/p&gt;,&lt;p&gt;kg/(m&amp;middot;s)&lt;/p&gt;,3,1,
&lt;p&gt;If the total momentum of a system is changing:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;particles of the system must be exerting forces on each other&lt;/p&gt;,&lt;p&gt;the system must be under the influence of gravity&lt;/p&gt;,&lt;p&gt;the center of mass must have constant velocity&lt;/p&gt;,&lt;p&gt;a net external force must be acting on the system&lt;/p&gt;,4,1,
"&lt;p&gt;When you step on the accelerator to increase the speed of your car, the force that accelerates the car is:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;",&lt;p&gt;the force of your foot on the accelerator&lt;/p&gt;,&lt;p&gt;the force of friction of the road on the tires&lt;/p&gt;,&lt;p&gt;the force of the engine on the drive shaft&lt;/p&gt;,&lt;p&gt;the normal force of the road on the tires&lt;/p&gt;,2,1,
&lt;p&gt;The physical quantity &amp;ldquo;impulse&amp;rdquo; has the same dimensions as that of:&lt;/p&gt;,&lt;p&gt;force&lt;/p&gt;,&lt;p&gt;momentum&lt;/p&gt;,&lt;p&gt;energy&lt;/p&gt;,&lt;p&gt;power&lt;/p&gt;,2,1,
&lt;p&gt;The law of conservation of momentum applies to a system of colliding objects only if:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;there is no change in kinetic energy of the system&lt;/p&gt;,&lt;p&gt;the coefficient of restitution is one&lt;/p&gt;,&lt;p&gt;the collisions are all elastic&lt;/p&gt;,&lt;p&gt;the net external impulse is zero&lt;/p&gt;,4,1,
&lt;p&gt;An inelastic collision is one in which:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;momentum is not conserved but kinetic energy is conserved&lt;/p&gt;,&lt;p&gt;total mass is not conserved but momentum is conserved&lt;/p&gt;,&lt;p&gt;neither kinetic energy nor momentum is conserved&lt;/p&gt;,&lt;p&gt;momentum is conserved but kinetic energy is not conserved&lt;/p&gt;,4,1,
&lt;p&gt;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp; An elastic collision is one in which:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;momentum is not conserved but kinetic energy is conserved&lt;/p&gt;,&lt;p&gt;total mass is not conserved but momentum is conserved&lt;/p&gt;,&lt;p&gt;kinetic energy and momentum are both conserved&lt;/p&gt;,&lt;p&gt;momentum is conserved but kinetic energy is not conserved&lt;/p&gt;,3,1,
&lt;p&gt;A man is at rest in the middle of a horizontal plane of perfectly smooth ice. He can move himself to the shore by making use of Newton&amp;rsquo;s&lt;/p&gt;&lt;p&gt;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;First law&lt;/p&gt;,&lt;p&gt;Second law&lt;/p&gt;,&lt;p&gt;Third law&lt;/p&gt;,&lt;p&gt;All the laws&lt;/p&gt;,3,1,
&lt;p&gt;The coefficient of restitution for a perfectly elastic collision is&lt;/p&gt;&lt;p&gt;&lt;strong&gt;&amp;nbsp;&lt;/strong&gt;&lt;/p&gt;,&lt;p&gt;1&lt;/p&gt;,&lt;p&gt;0&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mo&gt;&amp;#8734;&lt;/mo&gt;&lt;/math&gt;&lt;/p&gt;,&lt;p&gt;&amp;ndash; 1&lt;/p&gt;,1,1,
&lt;p&gt;Which of the following will make the volume of an ideal gas four times?&lt;/p&gt;&lt;p&gt;&amp;nbsp;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;double the absolute temperature and double the pressure&lt;/p&gt;,&lt;p&gt;halve the absolute temperature and double the pressure&lt;/p&gt;,&lt;p&gt;quarter the absolute temperature at constant pressure&lt;/p&gt;,&lt;p&gt;quarter the pressure at constant temperature.&lt;/p&gt;,4,1,
&lt;p&gt;Evidence that a gas consists mostly of empty space is the fact that:&lt;/p&gt;,&lt;p&gt;the density of a gas becomes much greater when it is liquefied&lt;/p&gt;,&lt;p&gt;gases exert pressure on the walls of their containers&lt;/p&gt;,&lt;p&gt;gases are transparent&lt;/p&gt;,&lt;p&gt;heating a gas increases the molecular motion&lt;/p&gt;,1,1,
"&lt;p&gt;According to the kinetic theory of gases, the pressure of a gas is due to:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;",&lt;p&gt;change of kinetic energy of molecules as they strike the wall&lt;/p&gt;,&lt;p&gt;change of kinetic energy of molecules as they strike the wall&lt;/p&gt;,&lt;p&gt;average kinetic energy of the molecules&lt;/p&gt;,&lt;p&gt;force of repulsion between the molecules&lt;/p&gt;,2,1,
&lt;p&gt;The force on the walls of a vessel of a contained gas is due to:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;the repulsive force between gas molecules&lt;/p&gt;,&lt;p&gt;a slight loss in the speed of a gas molecule during a collision with the wall&lt;/p&gt;,&lt;p&gt;a change in momentum of a gas molecule during a collision with the wall&lt;/p&gt;,&lt;p&gt;elastic collisions between gas molecules&lt;/p&gt;,3,1,
&lt;p&gt;The temperature of a gas is most closely related to:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;the kinetic energy of translation of its molecules&lt;/p&gt;,&lt;p&gt;its total molecular kinetic energy&lt;/p&gt;,&lt;p&gt;the sizes of its molecules&lt;/p&gt;,&lt;p&gt;the potential energy of its molecules&lt;/p&gt;,1,1,
&lt;p&gt;The internal energy of an ideal gas depends on:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;the temperature only&lt;/p&gt;,&lt;p&gt;the pressure only&lt;/p&gt;,&lt;p&gt;the volume only&lt;/p&gt;,&lt;p&gt;the temperature and pressure only&lt;/p&gt;,1,1,
&lt;p&gt;As the volume of an ideal gas is increased at constant pressure the average molecular speed:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;increases&lt;/p&gt;,&lt;p&gt;decreases&lt;/p&gt;,"&lt;p&gt;increases at high temperature, decreases at low&lt;/p&gt;","&lt;p&gt;decreases at high temperature, increases at low&lt;/p&gt;",1,1,
&lt;p&gt;As the volume of an ideal gas is increased at constant pressure the average molecular speed:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;increases&lt;/p&gt;,&lt;p&gt;decreases&lt;/p&gt;,"&lt;p&gt;increases at high temperature, decreases at low&lt;/p&gt;","&lt;p&gt;decreases at high temperature, increases at low&lt;/p&gt;",1,1,
&lt;p&gt;An ideal gas has molar specific heat Cp at constant pressure. When the temperature of n moles is increased by &amp;Delta;T the increase in the internal energy is:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mi&gt;n&lt;/mi&gt;&lt;msub&gt;&lt;mi&gt;C&lt;/mi&gt;&lt;mi&gt;p&lt;/mi&gt;&lt;/msub&gt;&lt;mo&gt;&amp;#9651;&lt;/mo&gt;&lt;mi&gt;T&lt;/mi&gt;&lt;/math&gt;&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mi&gt;n&lt;/mi&gt;&lt;mfenced&gt;&lt;mrow&gt;&lt;msub&gt;&lt;mi&gt;C&lt;/mi&gt;&lt;mi&gt;P&lt;/mi&gt;&lt;/msub&gt;&lt;mo&gt;+&lt;/mo&gt;&lt;mo&gt;&amp;#160;&lt;/mo&gt;&lt;mi&gt;R&lt;/mi&gt;&lt;/mrow&gt;&lt;/mfenced&gt;&lt;mo&gt;&amp;#9651;&lt;/mo&gt;&lt;mi&gt;T&lt;/mi&gt;&lt;/math&gt;&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mi&gt;n&lt;/mi&gt;&lt;mfenced&gt;&lt;mrow&gt;&lt;msub&gt;&lt;mi&gt;C&lt;/mi&gt;&lt;mi&gt;P&lt;/mi&gt;&lt;/msub&gt;&lt;mo&gt;&amp;#160;&lt;/mo&gt;&lt;mo&gt;-&lt;/mo&gt;&lt;mi&gt;R&lt;/mi&gt;&lt;/mrow&gt;&lt;/mfenced&gt;&lt;mo&gt;&amp;#9651;&lt;/mo&gt;&lt;mi&gt;T&lt;/mi&gt;&lt;/math&gt;&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mi&gt;n&lt;/mi&gt;&lt;mfenced&gt;&lt;mrow&gt;&lt;mn&gt;2&lt;/mn&gt;&lt;msub&gt;&lt;mi&gt;C&lt;/mi&gt;&lt;mrow&gt;&lt;mi&gt;P&lt;/mi&gt;&lt;mo&gt;&amp;#160;&lt;/mo&gt;&lt;/mrow&gt;&lt;/msub&gt;&lt;mo&gt;+&lt;/mo&gt;&lt;mi&gt;R&lt;/mi&gt;&lt;/mrow&gt;&lt;/mfenced&gt;&lt;mo&gt;&amp;#9651;&lt;/mo&gt;&lt;mi&gt;T&lt;/mi&gt;&lt;/math&gt;&lt;/p&gt;,3,1,
&lt;p&gt;The heat capacity at constant volume of an ideal gas depends on:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;the temperature&lt;/p&gt;,&lt;p&gt;the pressure&lt;/p&gt;,&lt;p&gt;the volume&lt;/p&gt;,&lt;p&gt;the number of molecules&lt;/p&gt;,4,1,
&lt;p&gt;The difference between the molar specific heat at constant pressure and the molar specific heat at constant volume for an ideal gas is:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;the Boltzmann constant k&lt;/p&gt;,&lt;p&gt;the universal gas constant R&lt;/p&gt;,&lt;p&gt;the Avogadro constant NA&lt;/p&gt;,&lt;p&gt;kT&lt;/p&gt;,2,1,
&lt;p&gt;&amp;nbsp;An ideal monatomic gas has a molar specific heat&amp;nbsp;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;msub&gt;&lt;mi&gt;C&lt;/mi&gt;&lt;mi&gt;V&lt;/mi&gt;&lt;/msub&gt;&lt;/math&gt; &amp;nbsp;at constant volume of:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mi&gt;R&lt;/mi&gt;&lt;/math&gt;&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mfrac&gt;&lt;mrow&gt;&lt;mn&gt;3&lt;/mn&gt;&lt;mi&gt;R&lt;/mi&gt;&lt;/mrow&gt;&lt;mn&gt;2&lt;/mn&gt;&lt;/mfrac&gt;&lt;/math&gt;&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mfrac&gt;&lt;mrow&gt;&lt;mn&gt;5&lt;/mn&gt;&lt;mi&gt;R&lt;/mi&gt;&lt;/mrow&gt;&lt;mn&gt;2&lt;/mn&gt;&lt;/mfrac&gt;&lt;/math&gt;&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mfrac&gt;&lt;mrow&gt;&lt;mn&gt;7&lt;/mn&gt;&lt;mi&gt;R&lt;/mi&gt;&lt;/mrow&gt;&lt;mn&gt;2&lt;/mn&gt;&lt;/mfrac&gt;&lt;/math&gt;&lt;/p&gt;,2,1,
&lt;p&gt;The specific heat of a polyatomic gas is greater than the specific heat of a monatomic gas because:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;the polyatomic gas does more positive work when energy is absorbed as heat&lt;/p&gt;,&lt;p&gt;the monatomic gas does more positive work when energy is absorbed as heat&lt;/p&gt;,&lt;p&gt;the energy absorbed by the polyatomic gas is split among more degrees of freedom&lt;/p&gt;,&lt;p&gt;the pressure is greater in the polyatomic gas&lt;/p&gt;,3,1,
&lt;p&gt;The specific heat of a polyatomic gas is greater than the specific heat of a monatomic gas because:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;the polyatomic gas does more positive work when energy is absorbed as heat&lt;/p&gt;,&lt;p&gt;the monatomic gas does more positive work when energy is absorbed as heat&lt;/p&gt;,&lt;p&gt;the energy absorbed by the polyatomic gas is split among more degrees of freedom&lt;/p&gt;,&lt;p&gt;the pressure is greater in the polyatomic gas&lt;/p&gt;,3,1,
&lt;p&gt;The ratio of the specific heat of a gas at constant volume to its specific heat at constant pressure is:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;1&lt;/p&gt;,&lt;p&gt;less than 1&lt;/p&gt;,&lt;p&gt;more than 1&lt;/p&gt;,&lt;p&gt;has units of pressure/volume&lt;/p&gt;,2,1,
