Question,Oprion 1,Option 2,Option 3,Option 4,Answer,Question_type,Diagram
&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mi&gt;&amp;#947;&lt;/mi&gt;&lt;mo&gt;&amp;#160;&lt;/mo&gt;&lt;mo&gt;=&lt;/mo&gt;&lt;mfrac&gt;&lt;msub&gt;&lt;mi&gt;C&lt;/mi&gt;&lt;mi&gt;P&lt;/mi&gt;&lt;/msub&gt;&lt;msub&gt;&lt;mi&gt;C&lt;/mi&gt;&lt;mi&gt;V&lt;/mi&gt;&lt;/msub&gt;&lt;/mfrac&gt;&lt;/math&gt;&amp;nbsp;is called&lt;/p&gt;&lt;p&gt;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;Molar heat capacity&lt;/p&gt;,&lt;p&gt;Heat capacity&lt;/p&gt;,&lt;p&gt;Ratio of heat capacity&lt;/p&gt;,&lt;p&gt;None of the above&lt;/p&gt;,3,1,
&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mi&gt;&amp;#947;&lt;/mi&gt;&lt;mo&gt;&amp;#160;&lt;/mo&gt;&lt;mo&gt;=&lt;/mo&gt;&lt;mfrac&gt;&lt;msub&gt;&lt;mi&gt;C&lt;/mi&gt;&lt;mi&gt;P&lt;/mi&gt;&lt;/msub&gt;&lt;msub&gt;&lt;mi&gt;C&lt;/mi&gt;&lt;mi&gt;V&lt;/mi&gt;&lt;/msub&gt;&lt;/mfrac&gt;&lt;/math&gt;&amp;nbsp;is called&lt;/p&gt;&lt;p&gt;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;Molar heat capacity&lt;/p&gt;,&lt;p&gt;Heat capacity&lt;/p&gt;,&lt;p&gt;Ratio of heat capacity&lt;/p&gt;,&lt;p&gt;None of the above&lt;/p&gt;,3,1,
&lt;p&gt;The work done by a gas at constant temperature is given by&amp;nbsp;&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mi&gt;n&lt;/mi&gt;&lt;mi&gt;R&lt;/mi&gt;&lt;mi&gt;T&lt;/mi&gt;&lt;mfrac&gt;&lt;msub&gt;&lt;mi&gt;V&lt;/mi&gt;&lt;mn&gt;2&lt;/mn&gt;&lt;/msub&gt;&lt;msub&gt;&lt;mi&gt;V&lt;/mi&gt;&lt;mn&gt;1&lt;/mn&gt;&lt;/msub&gt;&lt;/mfrac&gt;&lt;/math&gt;&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mi&gt;n&lt;/mi&gt;&lt;mi&gt;R&lt;/mi&gt;&lt;mi&gt;T&lt;/mi&gt;&lt;mfrac&gt;&lt;msub&gt;&lt;mi&gt;P&lt;/mi&gt;&lt;mn&gt;2&lt;/mn&gt;&lt;/msub&gt;&lt;msub&gt;&lt;mi&gt;P&lt;/mi&gt;&lt;mn&gt;1&lt;/mn&gt;&lt;/msub&gt;&lt;/mfrac&gt;&lt;/math&gt;&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mi&gt;n&lt;/mi&gt;&lt;mi&gt;R&lt;/mi&gt;&lt;mi&gt;T&lt;/mi&gt;&lt;mi&gt;In&lt;/mi&gt;&lt;mfrac&gt;&lt;msub&gt;&lt;mi&gt;V&lt;/mi&gt;&lt;mn&gt;2&lt;/mn&gt;&lt;/msub&gt;&lt;msub&gt;&lt;mi&gt;V&lt;/mi&gt;&lt;mn&gt;1&lt;/mn&gt;&lt;/msub&gt;&lt;/mfrac&gt;&lt;/math&gt;&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mi&gt;n&lt;/mi&gt;&lt;mi&gt;R&lt;/mi&gt;&lt;mi&gt;T&lt;/mi&gt;&lt;mi&gt;I&lt;/mi&gt;&lt;mi&gt;n&lt;/mi&gt;&lt;mfrac&gt;&lt;msub&gt;&lt;mi&gt;V&lt;/mi&gt;&lt;mn&gt;1&lt;/mn&gt;&lt;/msub&gt;&lt;msub&gt;&lt;mi&gt;V&lt;/mi&gt;&lt;mn&gt;2&lt;/mn&gt;&lt;/msub&gt;&lt;/mfrac&gt;&lt;/math&gt;&lt;/p&gt;,3,1,
&lt;p&gt;--------------law states that the volume of fixed mass of gas is inversely proportional to the pressure provided that temperature is kept constant&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;Volume law&lt;/p&gt;,&lt;p&gt;Charles law&lt;/p&gt;,&lt;p&gt;Pressure Law&lt;/p&gt;,&lt;p&gt;Boyles Law&lt;/p&gt;,4,1,
&lt;p&gt;Which of the following represent the equation of state&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mi&gt;P&lt;/mi&gt;&lt;mi&gt;V&lt;/mi&gt;&lt;mo&gt;&amp;#160;&lt;/mo&gt;&lt;mo&gt;=&lt;/mo&gt;&lt;mo&gt;&amp;#160;&lt;/mo&gt;&lt;mi&gt;n&lt;/mi&gt;&lt;mi&gt;R&lt;/mi&gt;&lt;mi&gt;T&lt;/mi&gt;&lt;mspace linebreak=&quot;newline&quot;/&gt;&lt;/math&gt;&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mi&gt;P&lt;/mi&gt;&lt;mi&gt;V&lt;/mi&gt;&lt;mo&gt;&amp;#160;&lt;/mo&gt;&lt;mo&gt;=&lt;/mo&gt;&lt;mo&gt;&amp;#160;&lt;/mo&gt;&lt;mi&gt;N&lt;/mi&gt;&lt;mi&gt;K&lt;/mi&gt;&lt;mi&gt;T&lt;/mi&gt;&lt;/math&gt;&lt;/p&gt;,&lt;p&gt;All of the above&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mi&gt;P&lt;/mi&gt;&lt;mi&gt;V&lt;/mi&gt;&lt;mo&gt;&amp;#160;&lt;/mo&gt;&lt;mo&gt;=&lt;/mo&gt;&lt;mo&gt;&amp;#160;&lt;/mo&gt;&lt;mi&gt;K&lt;/mi&gt;&lt;msup&gt;&lt;mi&gt;T&lt;/mi&gt;&lt;mi&gt;n&lt;/mi&gt;&lt;/msup&gt;&lt;/math&gt;&lt;/p&gt;,3,1,
&lt;p&gt;A study that describes the gas as large number of small particle is&lt;/p&gt;&lt;p&gt;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;Gases laws&lt;/p&gt;,&lt;p&gt;Kinetic theory of gases&lt;/p&gt;,&lt;p&gt;Gas dynamics&lt;/p&gt;,&lt;p&gt;None of the above&lt;/p&gt;,2,1,
&lt;p&gt;A study that describes the gas as large number of small particle is&lt;/p&gt;&lt;p&gt;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;Gases laws&lt;/p&gt;,&lt;p&gt;Kinetic theory of gases&lt;/p&gt;,&lt;p&gt;Gas dynamics&lt;/p&gt;,&lt;p&gt;None of the above&lt;/p&gt;,2,1,
&lt;p&gt;Which of the following equations describe Boyle&amp;rsquo;s law?&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mfrac&gt;&lt;mi&gt;V&lt;/mi&gt;&lt;mi&gt;T&lt;/mi&gt;&lt;/mfrac&gt;&lt;mo&gt;&amp;#160;&lt;/mo&gt;&lt;mo&gt;=&lt;/mo&gt;&lt;mo&gt;&amp;#160;&lt;/mo&gt;&lt;mi&gt;K&lt;/mi&gt;&lt;/math&gt;&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mi&gt;P&lt;/mi&gt;&lt;mi&gt;T&lt;/mi&gt;&lt;mo&gt;&amp;#160;&lt;/mo&gt;&lt;mo&gt;=&lt;/mo&gt;&lt;mo&gt;&amp;#160;&lt;/mo&gt;&lt;mi&gt;K&lt;/mi&gt;&lt;/math&gt;&lt;/p&gt;,&lt;p&gt;PV = K&lt;/p&gt;,&lt;p&gt;None of the above&lt;/p&gt;,3,1,
&lt;p&gt;&amp;nbsp;&lt;/p&gt;&lt;p&gt;&amp;nbsp; &amp;nbsp;Which of the following equations describe Charle&amp;rsquo;s law?&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mfrac&gt;&lt;mi&gt;V&lt;/mi&gt;&lt;mi&gt;T&lt;/mi&gt;&lt;/mfrac&gt;&lt;mo&gt;&amp;#160;&lt;/mo&gt;&lt;mo&gt;=&lt;/mo&gt;&lt;mo&gt;&amp;#160;&lt;/mo&gt;&lt;mi&gt;K&lt;/mi&gt;&lt;mspace linebreak=&quot;newline&quot;/&gt;&lt;/math&gt;&lt;/p&gt;,&lt;p&gt;PT = K&lt;/p&gt;,&lt;p&gt;PV = K&lt;/p&gt;,&lt;p&gt;PV = nRT&lt;/p&gt;,1,1,
&lt;p&gt;Which of the following equations describe pressure law?&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mfrac&gt;&lt;mrow&gt;&lt;mi&gt;V&lt;/mi&gt;&lt;mo&gt;&amp;#160;&lt;/mo&gt;&lt;/mrow&gt;&lt;mi&gt;T&lt;/mi&gt;&lt;/mfrac&gt;&lt;mo&gt;&amp;#160;&lt;/mo&gt;&lt;mo&gt;=&lt;/mo&gt;&lt;mo&gt;&amp;#160;&lt;/mo&gt;&lt;mi&gt;K&lt;/mi&gt;&lt;/math&gt;&lt;/p&gt;,&lt;p&gt;PT = K&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mfrac&gt;&lt;mi&gt;P&lt;/mi&gt;&lt;mi&gt;T&lt;/mi&gt;&lt;/mfrac&gt;&lt;mo&gt;&amp;#160;&lt;/mo&gt;&lt;mo&gt;=&lt;/mo&gt;&lt;mo&gt;&amp;#160;&lt;/mo&gt;&lt;mi&gt;K&lt;/mi&gt;&lt;/math&gt;&lt;/p&gt;,&lt;p&gt;PV = nRT&lt;/p&gt;,3,1,
&lt;p&gt;The universal gas constant R is the same for all gases&lt;/p&gt;&lt;p&gt;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;True&lt;/p&gt;,&lt;p&gt;I don&amp;rsquo;t know&lt;/p&gt;,&lt;p&gt;False&lt;/p&gt;,&lt;p&gt;All of the above.&lt;/p&gt;,1,1,
&lt;p&gt;Time taken to complete a wave is termed as: &amp;nbsp;&lt;/p&gt;&lt;p&gt;&amp;nbsp; &amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;Span&lt;/p&gt;,&lt;p&gt;Frequency&lt;/p&gt;,&lt;p&gt;Period&lt;/p&gt;,&lt;p&gt;Oscillation&lt;/p&gt;,3,1,
&lt;p&gt;Any two shortest points in a wave that are in phase are termed as Wave.&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;Distance&lt;/p&gt;,&lt;p&gt;Wavelength&lt;/p&gt;,&lt;p&gt;Phase length&lt;/p&gt;,&lt;p&gt;Amplitude&lt;/p&gt;,2,1,
&lt;p&gt;Direction of waves is parallel to the distance of vibration in&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;&lt;b&gt;&amp;nbsp;&amp;nbsp;&lt;/b&gt;&amp;nbsp; Longitudinal&lt;/p&gt;,&lt;p&gt;Transverse&lt;/p&gt;,&lt;p&gt;.Both transverse and longitudinal waves&lt;/p&gt;,&lt;p&gt;None of the above&lt;/p&gt;,1,1,
&lt;p&gt;&amp;nbsp;The motion that is repeated at regular intervals is termed as&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;Vibration&lt;/p&gt;,&lt;p&gt;Damping&lt;/p&gt;,&lt;p&gt;Periodic motion&lt;/p&gt;,&lt;p&gt;Oscillation&lt;/p&gt;,3,1,
"&lt;p&gt;When a pebble is dropped into a pond of still water, what happens?&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;",&lt;p&gt;Particles move&lt;/p&gt;,&lt;p&gt;Waves move&lt;/p&gt;,&lt;p&gt;The pebble moves&lt;/p&gt;,&lt;p&gt;Water moves&lt;/p&gt;,2,1,
&lt;p&gt;What are the essential properties a medium must possess for the propagation of mechanical waves?&lt;/p&gt;&lt;p&gt;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;Stable pressure&lt;/p&gt;,&lt;p&gt;Maximum friction&lt;/p&gt;,&lt;p&gt;Constant temperature&lt;/p&gt;,&lt;p&gt;Minimum friction&lt;/p&gt;,4,1,
"&lt;p&gt;Which of the following waves can be transmitted through solids, liquids and gases?&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;",&lt;p&gt;Transverse waves&lt;/p&gt;,&lt;p&gt;Electromagnetic waves&lt;/p&gt;,&lt;p&gt;Mechanical waves&lt;/p&gt;,&lt;p&gt;Longitudinal waves&lt;/p&gt;,4,1,
&lt;p&gt;Sound travels through a gas under which of the following condition?&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;Isothermal condition&lt;/p&gt;,&lt;p&gt;Non-isothermal condition&lt;/p&gt;,&lt;p&gt;Adiabatic condition&lt;/p&gt;,&lt;p&gt;Transverse condition&lt;/p&gt;,3,1,
