Question,Oprion 1,Option 2,Option 3,Option 4,Answer,Question_type,Diagram
&lt;p&gt;which of the following is not type of elastic modulus&lt;/p&gt;,&lt;p&gt;Share modulus&lt;/p&gt;,&lt;p&gt;young modulus&lt;/p&gt;,&lt;p&gt;Bulk modulus&lt;/p&gt;,&lt;p&gt;heat modulus&lt;/p&gt;,4,1,
&lt;p&gt;Young modulus is the measure of the resistance of a .............. to a change in its length&lt;/p&gt;,&lt;p&gt;liquid&lt;/p&gt;,&lt;p&gt;solid&lt;/p&gt;,&lt;p&gt;gas&lt;/p&gt;,&lt;p&gt;vapour&lt;/p&gt;,2,1,
&lt;p&gt;..............is a point after elastic limit where small increase in load will produce a large&lt;/p&gt;,&lt;p&gt;breakingl point&lt;/p&gt;,&lt;p&gt;share point&lt;/p&gt;,&lt;p&gt;peak point&lt;/p&gt;,&lt;p&gt;Yield point&lt;/p&gt;,4,1,
&lt;p&gt;extension Fracture or ..........&amp;nbsp; is a point where the elastic material can no longer withstand any increase in load.&lt;/p&gt;,&lt;p&gt;breaking point&lt;/p&gt;,&lt;p&gt;Yield point&lt;/p&gt;,&lt;p&gt;peak point&lt;/p&gt;,&lt;p&gt;share point&lt;/p&gt;,1,1,
&lt;p&gt;Which type of waves require a material medium for their propagation?&lt;/p&gt;,&lt;p&gt;Mechanical waves&lt;/p&gt;,&lt;p&gt;Electromagnetic waves&lt;/p&gt;,&lt;p&gt;Transverse waves&lt;/p&gt;,&lt;p&gt;Longitudinal waves&lt;/p&gt;,1,1,
&lt;p&gt;Which type of waves do not require a material medium for propagation?&lt;/p&gt;,&lt;p&gt;Mechanical waves&lt;/p&gt;,&lt;p&gt;Electromagnetic waves&lt;/p&gt;,&lt;p&gt;Transverse waves&lt;/p&gt;,&lt;p&gt;Longitudinal waves&lt;/p&gt;,2,1,
&lt;p&gt;What is the direction of particle vibration in a transverse wave?&lt;/p&gt;,&lt;p&gt;Perpendicular to the direction of wave propagation&lt;/p&gt;,&lt;p&gt;Parallel to the direction of wave propagation&lt;/p&gt;,&lt;p&gt;Opposite to the direction of wave propagation&lt;/p&gt;,&lt;p&gt;Random with respect to the direction of wave propagation&lt;/p&gt;,1,1,
&lt;p&gt;What is the direction of particle vibration in a longitudinal wave?&lt;/p&gt;,&lt;p&gt;Perpendicular to the direction of wave propagation&lt;/p&gt;,&lt;p&gt;Parallel to the direction of wave propagation&lt;/p&gt;,&lt;p&gt;Opposite to the direction of wave propagation&lt;/p&gt;,&lt;p&gt;Random with respect to the direction of wave propagation&lt;/p&gt;,2,1,
&lt;p&gt;Which waves require a medium for particle vibration?&lt;/p&gt;,&lt;p&gt;Transverse waves&lt;/p&gt;,&lt;p&gt;Longitudinal waves&lt;/p&gt;,&lt;p&gt;Electromagnetic waves&lt;/p&gt;,&lt;p&gt;None of the above&lt;/p&gt;,2,1,
&lt;p&gt;What are the regions of maximum upward displacement in a transverse wave called?&lt;/p&gt;,&lt;p&gt;Crests&lt;/p&gt;,&lt;p&gt;Troughs&lt;/p&gt;,&lt;p&gt;Compressions&lt;/p&gt;,&lt;p&gt;Rarefactions&lt;/p&gt;,1,1,
&lt;p&gt;What are the regions of maximum downward displacement in a transverse wave called?&lt;/p&gt;,&lt;p&gt;Crests&lt;/p&gt;,&lt;p&gt;Troughs&lt;/p&gt;,&lt;p&gt;Compressions&lt;/p&gt;,&lt;p&gt;Rarefactions&lt;/p&gt;,2,1,
&lt;p&gt;What is the maximum displacement of particles from their mean position called?&lt;/p&gt;,&lt;p&gt;Wavelength&lt;/p&gt;,&lt;p&gt;Amplitude&lt;/p&gt;,&lt;p&gt;Frequency&lt;/p&gt;,&lt;p&gt;Period&lt;/p&gt;,2,1,
&lt;p&gt;What is the time required for a particle to perform one complete cycle called?&lt;/p&gt;,&lt;p&gt;Wavelength&lt;/p&gt;,&lt;p&gt;Amplitude&lt;/p&gt;,&lt;p&gt;Frequency&lt;/p&gt;,&lt;p&gt;Period&lt;/p&gt;,4,1,
&lt;p&gt;What is the number of cycles performed by a wave per second called?&lt;/p&gt;,&lt;p&gt;Wavelength&lt;/p&gt;,&lt;p&gt;Amplitude&lt;/p&gt;,&lt;p&gt;Frequency&lt;/p&gt;,&lt;p&gt;Period&lt;/p&gt;,3,1,
&lt;p&gt;What is the distance between successive crests or troughs called?&lt;/p&gt;,&lt;p&gt;Wavelength&lt;/p&gt;,&lt;p&gt;Amplitude&lt;/p&gt;,&lt;p&gt;Frequency&lt;/p&gt;,&lt;p&gt;Period&lt;/p&gt;,1,1,
&lt;p&gt;What is the distance traveled by the wave per second called?&lt;/p&gt;,&lt;p&gt;Wavelength&lt;/p&gt;,&lt;p&gt;Amplitude&lt;/p&gt;,&lt;p&gt;Frequency&lt;/p&gt;,&lt;p&gt;Wave speed&lt;/p&gt;,4,1,
&lt;p&gt;The frequency of a wave can be given in terms of the wavelength and _______.&lt;/p&gt;,&lt;p&gt;Period&lt;/p&gt;,&lt;p&gt;Amplitude&lt;/p&gt;,&lt;p&gt;Speed&lt;/p&gt;,&lt;p&gt;Phase constant&lt;/p&gt;,1,1,
&lt;p&gt;The speed of a wave can be given in terms of the frequency and _______.&lt;/p&gt;,&lt;p&gt;Period&lt;/p&gt;,&lt;p&gt;Amplitude&lt;/p&gt;,&lt;p&gt;Wavelength&lt;/p&gt;,&lt;p&gt;Phase constant&lt;/p&gt;,3,1,
&lt;p&gt;What is the equation for a traveling wave in terms of a sine function?&lt;/p&gt;,&lt;p&gt;y = Asin&amp;omega;t&lt;/p&gt;,&lt;p&gt;y = Acos&amp;omega;t&lt;/p&gt;,&lt;p&gt;y = Asin(kx)&lt;/p&gt;,&lt;p&gt;y = Acos(kx)&lt;/p&gt;,1,1,
&lt;p&gt;What is the equation for a traveling wave that does not start from the origin?&lt;/p&gt;,&lt;p&gt;y = Asin&amp;omega;t&lt;/p&gt;,&lt;p&gt;y = Acos&amp;omega;t&lt;/p&gt;,&lt;p&gt;y = Asin(&amp;omega;t - &amp;phi;)&lt;/p&gt;,&lt;p&gt;y = Acos(&amp;omega;t - &amp;phi;)&lt;/p&gt;,3,1,
&lt;p&gt;Which type of waves are obtained when two progressive waves of equal amplitude and frequency combine together?&lt;/p&gt;,&lt;p&gt;Transverse waves&lt;/p&gt;,&lt;p&gt;Longitudinal waves&lt;/p&gt;,&lt;p&gt;Mechanical waves&lt;/p&gt;,&lt;p&gt;Stationary waves&lt;/p&gt;,4,1,
&lt;p&gt;What are the points in a stationary wave that are permanently at rest called?&lt;/p&gt;,&lt;p&gt;Crests&lt;/p&gt;,&lt;p&gt;Troughs&lt;/p&gt;,&lt;p&gt;Nodes&lt;/p&gt;,&lt;p&gt;Antinodes&lt;/p&gt;,3,1,
&lt;p&gt;What is the definition of a wave?&lt;/p&gt;,&lt;p&gt;A disturbance that causes permanent displacement of the medium&lt;/p&gt;,&lt;p&gt;A disturbance that transfers energy without causing permanent displacement of the medium&lt;/p&gt;,&lt;p&gt;A disturbance that travels through a vacuum&lt;/p&gt;,&lt;p&gt;A disturbance that requires a material medium for propagation&lt;/p&gt;,2,1,
&lt;p&gt;How are particles of the medium displaced in a transverse wave?&lt;/p&gt;,&lt;p&gt;Parallel to the direction of wave propagation&lt;/p&gt;,&lt;p&gt;Perpendicular to the direction of wave propagation&lt;/p&gt;,&lt;p&gt;Randomly in all directions&lt;/p&gt;,&lt;p&gt;None of the above&lt;/p&gt;,2,1,
&lt;p&gt;What is the amplitude of a wave?&lt;/p&gt;,&lt;p&gt;The time required for a particle to complete one cycle&lt;/p&gt;,&lt;p&gt;The maximum displacement of particles from their mean position&lt;/p&gt;,&lt;p&gt;The number of cycles performed by the wave per second&lt;/p&gt;,&lt;p&gt;The distance between two successive crests or troughs&lt;/p&gt;,2,1,
&lt;p&gt;What is the wave speed?&lt;/p&gt;,&lt;p&gt;The time required for a particle to complete one cycle&lt;/p&gt;,&lt;p&gt;The maximum displacement of particles from their mean position&lt;/p&gt;,&lt;p&gt;The number of cycles performed by the wave per second&lt;/p&gt;,&lt;p&gt;The distance traveled by the wave per second&lt;/p&gt;,4,1,
&lt;p&gt;How can frequency be calculated using wavelength?&lt;/p&gt;,&lt;p&gt;Frequency = wavelength / period&lt;/p&gt;,&lt;p&gt;Frequency = speed / wavelength&lt;/p&gt;,&lt;p&gt;Frequency = period * wavelength&lt;/p&gt;,&lt;p&gt;Frequency = amplitude / wavelength&lt;/p&gt;,1,1,
&lt;p&gt;How can wave speed be calculated using frequency and wavelength?&lt;/p&gt;,&lt;p&gt;Wave speed = frequency / wavelength&lt;/p&gt;,&lt;p&gt;Wave speed = frequency * wavelength&lt;/p&gt;,&lt;p&gt;Wave speed = wavelength / frequency&lt;/p&gt;,&lt;p&gt;Wave speed = amplitude * wavelength&lt;/p&gt;,2,1,
&lt;p&gt;What are the points in a stationary wave that vibrate with maximum amplitude called?&lt;/p&gt;,&lt;p&gt;Crests&lt;/p&gt;,&lt;p&gt;Troughs&lt;/p&gt;,&lt;p&gt;Nodes&lt;/p&gt;,&lt;p&gt;Antinodes&lt;/p&gt;,4,1,
&lt;p&gt;Sound waves are an example of _______ waves.&lt;/p&gt;,&lt;p&gt;Transverse&lt;/p&gt;,&lt;p&gt;Longitudinal&lt;/p&gt;,&lt;p&gt;Electromagnetic&lt;/p&gt;,&lt;p&gt;Mechanical&lt;/p&gt;,4,1,
&lt;p&gt;&amp;nbsp;What type of waves propagate through adiabatic compression and decompression?&lt;/p&gt;,&lt;p&gt;Transverse waves&lt;/p&gt;,&lt;p&gt;Longitudinal waves&lt;/p&gt;,&lt;p&gt;Electromagnetic waves&lt;/p&gt;,&lt;p&gt;acoustics&lt;/p&gt;,4,1,
&lt;p&gt;What is the change in frequency heard by an observer due to relative motion between a source of sound waves and the observer called?&lt;/p&gt;,&lt;p&gt;Reflection&lt;/p&gt;,&lt;p&gt;Refraction&lt;/p&gt;,&lt;p&gt;Diffraction&lt;/p&gt;,&lt;p&gt;Doppler Effect&lt;/p&gt;,4,1,
&lt;p&gt;The Doppler Effect is observed in which type of waves?&lt;/p&gt;,&lt;p&gt;Transverse waves&lt;/p&gt;,&lt;p&gt;Longitudinal waves&lt;/p&gt;,&lt;p&gt;Electromagnetic waves&lt;/p&gt;,&lt;p&gt;Mechanical waves&lt;/p&gt;,4,1,
&lt;p&gt;Which of the following is an example of a mechanical wave?&lt;/p&gt;,&lt;p&gt;Radio waves&lt;/p&gt;,&lt;p&gt;Light waves&lt;/p&gt;,&lt;p&gt;Water waves&lt;/p&gt;,&lt;p&gt;X-rays&lt;/p&gt;,3,1,
&lt;p&gt;Light waves are classified as:&lt;/p&gt;,&lt;p&gt;Transverse waves&lt;/p&gt;,&lt;p&gt;Longitudinal waves&lt;/p&gt;,&lt;p&gt;Mechanical waves&lt;/p&gt;,&lt;p&gt;None of the above&lt;/p&gt;,4,1,
&lt;p&gt;Sound waves are an example of:&lt;/p&gt;,&lt;p&gt;Transverse waves&lt;/p&gt;,&lt;p&gt;Longitudinal waves&lt;/p&gt;,&lt;p&gt;Mechanical waves&lt;/p&gt;,&lt;p&gt;Electromagnetic waves&lt;/p&gt;,3,1,
&lt;p&gt;&amp;nbsp;How are compressions and rarefactions represented in a longitudinal wave?&lt;/p&gt;,&lt;p&gt;Crests and troughs&lt;/p&gt;,&lt;p&gt;Peaks and valleys&lt;/p&gt;,&lt;p&gt;Upward and downward displacements&lt;/p&gt;,&lt;p&gt;None of the above&lt;/p&gt;,3,1,
&lt;p&gt;&amp;nbsp;The maximum displacement of particles from their mean position is called the:&lt;/p&gt;,&lt;p&gt;Frequency&lt;/p&gt;,&lt;p&gt;Wavelength&lt;/p&gt;,&lt;p&gt;Amplitude&lt;/p&gt;,&lt;p&gt;Period&lt;/p&gt;,3,1,
&lt;p&gt;What is the distance between successive crests or troughs called?&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;Wavelength&lt;/p&gt;,&lt;p&gt;Amplitude&lt;/p&gt;,&lt;p&gt;Frequency&lt;/p&gt;,&lt;p&gt;Period&lt;/p&gt;,1,1,
&lt;p&gt;What type of waves that requires material medium for its propagation?&lt;/p&gt;,&lt;p&gt;Transverse waves&lt;/p&gt;,&lt;p&gt;Longitudinal waves&lt;/p&gt;,&lt;p&gt;Electromagnetic waves&lt;/p&gt;,&lt;p&gt;mechanical waves&lt;/p&gt;,4,1,
&lt;p&gt;Which of these are properties of waves&lt;/p&gt;,&lt;p&gt;Reflection&lt;/p&gt;,&lt;p&gt;Diffraction&lt;/p&gt;,&lt;p&gt;Refraction&lt;/p&gt;,&lt;p&gt;All of the above&lt;/p&gt;,4,1,
&lt;p&gt;Which of these is not property of waves&lt;/p&gt;,&lt;p&gt;dilusion&lt;/p&gt;,&lt;p&gt;interference&lt;/p&gt;,&lt;p&gt;polarization&lt;/p&gt;,&lt;p&gt;reflection&lt;/p&gt;,1,1,
&lt;p&gt;Waves that spread out continuously are called traveling waves or&lt;/p&gt;,&lt;p&gt;reference&lt;/p&gt;,&lt;p&gt;progressive&lt;/p&gt;,&lt;p&gt;polarization&lt;/p&gt;,&lt;p&gt;density&lt;/p&gt;,2,1,
&lt;p&gt;stationary wave is a wave obtained when two progressive waves of equal amplitude and frequencyare :&lt;/p&gt;,&lt;p&gt;in opposite direction and combined together&lt;/p&gt;,&lt;p&gt;in same direction and combined together&lt;/p&gt;,&lt;p&gt;in opposite direction and not combined together&lt;/p&gt;,&lt;p&gt;in same direction but not combined together&lt;/p&gt;,1,1,
&lt;p&gt;transverse wave as we have seen can be represented by a series of&lt;/p&gt;,&lt;p&gt;magnitude and direction&lt;/p&gt;,&lt;p&gt;interference from one another&lt;/p&gt;,&lt;p&gt;crest and trough.&lt;/p&gt;,&lt;p&gt;crest and crest&lt;/p&gt;,3,1,
&lt;p&gt;&amp;nbsp;Electromagnetic waves are waves that ............a material medium for propagation&lt;/p&gt;,&lt;p&gt;do not require&lt;/p&gt;,&lt;p&gt;require&lt;/p&gt;,&lt;p&gt;need&lt;/p&gt;,&lt;p&gt;none of the above&lt;/p&gt;,1,1,
&lt;p&gt;All of the following are examples of electromagnetic waves except&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,"&lt;p&gt;light rays,&lt;/p&gt;","&lt;p&gt;waves,&lt;/p&gt;",&lt;p&gt;sound waves&lt;/p&gt;,&lt;p&gt;Radio waves&lt;/p&gt;,3,1,
"&lt;p&gt;Mechanical waves are waves that ........... a material medium for their propagation,&amp;nbsp;&lt;/p&gt;",&lt;p&gt;do not require&lt;/p&gt;,&lt;p&gt;require&lt;/p&gt;,&lt;p&gt;need&lt;/p&gt;,&lt;p&gt;none of the above&lt;/p&gt;,2,1,
&lt;p&gt;Which of the following is not example of mechanical waves?&lt;/p&gt;,&lt;p&gt;water waves&lt;/p&gt;,&lt;p&gt;generated in a spring or rope&lt;/p&gt;,&lt;p&gt;sound waves&lt;/p&gt;,&lt;p&gt;light waves&lt;/p&gt;,4,1,
&lt;p&gt;The force that keeps the body moving in circular motion is _______&lt;/p&gt;,&lt;p&gt;Centripetal force&lt;/p&gt;,&lt;p&gt;Centrifugal force&lt;/p&gt;,&lt;p&gt;Force of gravity&lt;/p&gt;,&lt;p&gt;Reaction forces&lt;/p&gt;,1,1,
&lt;p&gt;The centrifugal force always acts _____&lt;/p&gt;,&lt;p&gt;Towards the center&lt;/p&gt;,&lt;p&gt;Away from the center&lt;/p&gt;,&lt;p&gt;In tangential direction&lt;/p&gt;,&lt;p&gt;Outside of the plane of motion&lt;/p&gt;,2,1,
&lt;p&gt;A body is moving in a vertical circular motion. Which one of the following forces does it not experience?&lt;/p&gt;,&lt;p&gt;Force of gravity&lt;/p&gt;,&lt;p&gt;Centripetal force&lt;/p&gt;,&lt;p&gt;Normal reaction force&lt;/p&gt;,&lt;p&gt;Centrifugal force&lt;/p&gt;,3,1,
&lt;p&gt;&amp;nbsp;Which one of the following devices acts on the principle of circular motion?&lt;/p&gt;,&lt;p&gt;Centrifuge&lt;/p&gt;,&lt;p&gt;Screw Gauge&lt;/p&gt;,&lt;p&gt;Ruler&lt;/p&gt;,&lt;p&gt;Vernier calipers&lt;/p&gt;,1,1,
&lt;p&gt;At which position in vertical circular motion is the tension in the string minimum?&lt;/p&gt;,&lt;p&gt;At the highest position&lt;/p&gt;,&lt;p&gt;At the lowest position&lt;/p&gt;,&lt;p&gt;When the string is horizontal&lt;/p&gt;,&lt;p&gt;At an angle of 35 degress from the horizontal&lt;/p&gt;,1,1,
&lt;p&gt;The mathematical expression for centripetal force is ______&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mi&gt;m&lt;/mi&gt;&lt;msup&gt;&lt;mi&gt;v&lt;/mi&gt;&lt;mn&gt;2&lt;/mn&gt;&lt;/msup&gt;&lt;mo&gt;/&lt;/mo&gt;&lt;mi&gt;r&lt;/mi&gt;&lt;/math&gt;&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mi&gt;m&lt;/mi&gt;&lt;mi&gt;v&lt;/mi&gt;&lt;mo&gt;/&lt;/mo&gt;&lt;mi&gt;r&lt;/mi&gt;&lt;/math&gt;&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;msup&gt;&lt;mi&gt;v&lt;/mi&gt;&lt;mn&gt;2&lt;/mn&gt;&lt;/msup&gt;&lt;mo&gt;/&lt;/mo&gt;&lt;mi&gt;r&lt;/mi&gt;&lt;/math&gt;&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mi&gt;m&lt;/mi&gt;&lt;msup&gt;&lt;mi&gt;v&lt;/mi&gt;&lt;mn&gt;3&lt;/mn&gt;&lt;/msup&gt;&lt;mo&gt;/&lt;/mo&gt;&lt;mi&gt;r&lt;/mi&gt;&lt;/math&gt;&lt;/p&gt;,1,1,
&lt;p&gt;The speed of light is ________.&lt;/p&gt;,"&lt;p&gt;299,792,458 m/s&lt;/p&gt;","&lt;p&gt;299,792,458 km/s&lt;/p&gt;","&lt;p&gt;499,792,458 km/s&lt;/p&gt;","&lt;p&gt;499,792,458 m/s&lt;/p&gt;",1,1,
&lt;p&gt;A newton is the force:&lt;/p&gt;,&lt;p&gt;of gravity on a 1 kg body&lt;/p&gt;,&lt;p&gt;of gravity on a 1 g body&lt;/p&gt;,&lt;p&gt;that gives a 1 g body an acceleration of 1&amp;nbsp;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mi&gt;c&lt;/mi&gt;&lt;mi&gt;m&lt;/mi&gt;&lt;mo&gt;/&lt;/mo&gt;&lt;msup&gt;&lt;mi&gt;s&lt;/mi&gt;&lt;mn&gt;2&lt;/mn&gt;&lt;/msup&gt;&lt;/math&gt;&lt;/p&gt;,&lt;p&gt;that gives a 1 kg body an acceleration of 1&lt;b&gt;&amp;nbsp;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mi&gt;m&lt;/mi&gt;&lt;mo&gt;/&lt;/mo&gt;&lt;msup&gt;&lt;mi&gt;s&lt;/mi&gt;&lt;mn&gt;2&lt;/mn&gt;&lt;/msup&gt;&lt;/math&gt;&lt;/b&gt;&lt;/p&gt;,4,1,
&lt;p&gt;A force of 1N is:&lt;/p&gt;,&lt;p&gt;1 kg/s&lt;/p&gt;,&lt;p&gt;1 kg &amp;middot; m/s&lt;/p&gt;,&lt;p&gt;&lt;b&gt;1 kg &amp;middot; m/&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;msup&gt;&lt;mi&gt;s&lt;/mi&gt;&lt;mn&gt;2&lt;/mn&gt;&lt;/msup&gt;&lt;/math&gt;&lt;/b&gt;&lt;/p&gt;,&lt;p&gt;1 kg &amp;middot;&amp;nbsp;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;msup&gt;&lt;mi&gt;m&lt;/mi&gt;&lt;mn&gt;2&lt;/mn&gt;&lt;/msup&gt;&lt;mo&gt;/&lt;/mo&gt;&lt;mi&gt;s&lt;/mi&gt;&lt;/math&gt;&lt;/p&gt;,3,1,
&lt;p&gt;The dimension of electromotive force are `&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mi&gt;M&lt;/mi&gt;&lt;msup&gt;&lt;mi&gt;L&lt;/mi&gt;&lt;mn&gt;2&lt;/mn&gt;&lt;/msup&gt;&lt;msup&gt;&lt;mi&gt;T&lt;/mi&gt;&lt;mrow&gt;&lt;mo&gt;-&lt;/mo&gt;&lt;mn&gt;3&lt;/mn&gt;&lt;/mrow&gt;&lt;/msup&gt;&lt;msup&gt;&lt;mi&gt;I&lt;/mi&gt;&lt;mrow&gt;&lt;mo&gt;-&lt;/mo&gt;&lt;mn&gt;1&lt;/mn&gt;&lt;/mrow&gt;&lt;/msup&gt;&lt;/math&gt;&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mi&gt;M&lt;/mi&gt;&lt;msup&gt;&lt;mi&gt;L&lt;/mi&gt;&lt;mn&gt;2&lt;/mn&gt;&lt;/msup&gt;&lt;msup&gt;&lt;mi&gt;T&lt;/mi&gt;&lt;mrow&gt;&lt;mo&gt;-&lt;/mo&gt;&lt;mn&gt;3&lt;/mn&gt;&lt;/mrow&gt;&lt;/msup&gt;&lt;msup&gt;&lt;mi&gt;I&lt;/mi&gt;&lt;mrow&gt;&lt;mo&gt;-&lt;/mo&gt;&lt;mn&gt;2&lt;/mn&gt;&lt;/mrow&gt;&lt;/msup&gt;&lt;/math&gt;&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;msup&gt;&lt;mi&gt;M&lt;/mi&gt;&lt;mn&gt;2&lt;/mn&gt;&lt;/msup&gt;&lt;mi&gt;L&lt;/mi&gt;&lt;msup&gt;&lt;mi&gt;T&lt;/mi&gt;&lt;mrow&gt;&lt;mo&gt;-&lt;/mo&gt;&lt;mn&gt;2&lt;/mn&gt;&lt;/mrow&gt;&lt;/msup&gt;&lt;msup&gt;&lt;mi&gt;I&lt;/mi&gt;&lt;mrow&gt;&lt;mo&gt;-&lt;/mo&gt;&lt;mn&gt;1&lt;/mn&gt;&lt;/mrow&gt;&lt;/msup&gt;&lt;/math&gt;&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;msup&gt;&lt;mi&gt;M&lt;/mi&gt;&lt;mn&gt;2&lt;/mn&gt;&lt;/msup&gt;&lt;msup&gt;&lt;mi&gt;L&lt;/mi&gt;&lt;mn&gt;2&lt;/mn&gt;&lt;/msup&gt;&lt;msup&gt;&lt;mi&gt;T&lt;/mi&gt;&lt;mrow&gt;&lt;mo&gt;-&lt;/mo&gt;&lt;mn&gt;1&lt;/mn&gt;&lt;/mrow&gt;&lt;/msup&gt;&lt;msup&gt;&lt;mi&gt;I&lt;/mi&gt;&lt;mrow&gt;&lt;mo&gt;-&lt;/mo&gt;&lt;mn&gt;1&lt;/mn&gt;&lt;/mrow&gt;&lt;/msup&gt;&lt;/math&gt;&lt;/p&gt;,1,1,
&lt;p&gt;Which of the following is the dimension of pressure?&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mi&gt;M&lt;/mi&gt;&lt;msup&gt;&lt;mi&gt;L&lt;/mi&gt;&lt;mrow&gt;&lt;mo&gt;-&lt;/mo&gt;&lt;mn&gt;1&lt;/mn&gt;&lt;/mrow&gt;&lt;/msup&gt;&lt;msup&gt;&lt;mi&gt;T&lt;/mi&gt;&lt;mrow&gt;&lt;mo&gt;-&lt;/mo&gt;&lt;mn&gt;2&lt;/mn&gt;&lt;/mrow&gt;&lt;/msup&gt;&lt;/math&gt;&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mi&gt;M&lt;/mi&gt;&lt;mi&gt;L&lt;/mi&gt;&lt;msup&gt;&lt;mi&gt;T&lt;/mi&gt;&lt;mrow&gt;&lt;mo&gt;-&lt;/mo&gt;&lt;mn&gt;2&lt;/mn&gt;&lt;/mrow&gt;&lt;/msup&gt;&lt;/math&gt;&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mi&gt;M&lt;/mi&gt;&lt;msup&gt;&lt;mi&gt;L&lt;/mi&gt;&lt;mn&gt;2&lt;/mn&gt;&lt;/msup&gt;&lt;msup&gt;&lt;mi&gt;T&lt;/mi&gt;&lt;mrow&gt;&lt;mo&gt;-&lt;/mo&gt;&lt;mn&gt;3&lt;/mn&gt;&lt;/mrow&gt;&lt;/msup&gt;&lt;/math&gt;&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mi&gt;M&lt;/mi&gt;&lt;msup&gt;&lt;mi&gt;L&lt;/mi&gt;&lt;mrow&gt;&lt;mo&gt;-&lt;/mo&gt;&lt;mn&gt;3&lt;/mn&gt;&lt;/mrow&gt;&lt;/msup&gt;&lt;/math&gt;&lt;/p&gt;,1,1,
&lt;p&gt;&lt;b&gt;&amp;nbsp;&lt;/b&gt;A gram is:&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;msup&gt;&lt;mn&gt;10&lt;/mn&gt;&lt;mrow&gt;&lt;mo&gt;-&lt;/mo&gt;&lt;mn&gt;6&lt;/mn&gt;&lt;/mrow&gt;&lt;/msup&gt;&lt;mi&gt;k&lt;/mi&gt;&lt;mi&gt;g&lt;/mi&gt;&lt;/math&gt;&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;msup&gt;&lt;mn&gt;10&lt;/mn&gt;&lt;mrow&gt;&lt;mo&gt;-&lt;/mo&gt;&lt;mn&gt;3&lt;/mn&gt;&lt;/mrow&gt;&lt;/msup&gt;&lt;mi&gt;k&lt;/mi&gt;&lt;mi&gt;g&lt;/mi&gt;&lt;/math&gt;&lt;/p&gt;,&lt;p&gt;1kg&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;msup&gt;&lt;mn&gt;10&lt;/mn&gt;&lt;mn&gt;3&lt;/mn&gt;&lt;/msup&gt;&lt;mi&gt;k&lt;/mi&gt;&lt;mi&gt;g&lt;/mi&gt;&lt;/math&gt;&lt;/p&gt;,2,1,
